2026-01-06 13:18:27.150 +00:00 [WRN] Failed to determine the https port for redirect.
2026-01-06 13:26:02.010 +00:00 [INF] HTTP GET /api/v1/Opening responded 200 in 2.4527 ms
2026-01-06 13:26:19.416 +00:00 [INF] HTTP OPTIONS /api/v1/Opening responded 204 in 0.1796 ms
2026-01-06 13:26:19.417 +00:00 [INF] HTTP OPTIONS /api/v1/Opening responded 204 in 0.0265 ms
2026-01-06 13:26:19.431 +00:00 [INF] HTTP GET /api/v1/Opening responded 200 in 11.5294 ms
2026-01-06 13:26:19.447 +00:00 [INF] HTTP GET /api/v1/Opening responded 200 in 10.6286 ms
2026-01-06 13:26:22.583 +00:00 [INF] HTTP OPTIONS /api/v1/CandidateInfo/by-opening/1009 responded 204 in 0.1129 ms
2026-01-06 13:26:22.677 +00:00 [INF] HTTP GET /api/v1/CandidateInfo/by-opening/1009 responded 200 in 87.2656 ms
2026-01-06 13:26:22.684 +00:00 [INF] HTTP GET /api/v1/CandidateInfo/by-opening/1009 responded 200 in 4.6520 ms
2026-01-06 13:26:28.489 +00:00 [INF] HTTP OPTIONS /api/v1/Opening responded 204 in 0.0709 ms
2026-01-06 13:26:28.502 +00:00 [INF] HTTP GET /api/v1/Opening responded 200 in 7.4527 ms
2026-01-06 13:26:28.518 +00:00 [INF] HTTP GET /api/v1/Opening responded 200 in 12.0775 ms
2026-01-06 13:26:29.691 +00:00 [INF] HTTP OPTIONS /api/v1/CandidateInfo/by-opening/11 responded 204 in 0.0760 ms
2026-01-06 13:26:29.691 +00:00 [INF] HTTP OPTIONS /api/v1/CandidateInfo/by-opening/11 responded 204 in 0.0760 ms
2026-01-06 13:26:29.759 +00:00 [INF] HTTP GET /api/v1/CandidateInfo/by-opening/11 responded 200 in 64.5797 ms
2026-01-06 13:26:29.764 +00:00 [INF] HTTP GET /api/v1/CandidateInfo/by-opening/11 responded 200 in 2.8884 ms
2026-01-06 13:26:42.551 +00:00 [INF] HTTP OPTIONS /api/v1/CandidateInfo/by-opening/11 responded 204 in 0.1317 ms
2026-01-06 13:26:42.562 +00:00 [INF] HTTP GET /api/v1/CandidateInfo/by-opening/11 responded 200 in 6.1167 ms
2026-01-06 13:26:42.586 +00:00 [INF] HTTP GET /api/v1/CandidateInfo/by-opening/11 responded 200 in 18.6394 ms
2026-01-06 13:26:44.575 +00:00 [INF] HTTP GET /api/v1/JobCandidate/download-cv/12345678.pdf responded 200 in 36.9949 ms
2026-01-06 13:26:55.176 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21815 responded 204 in 0.1065 ms
2026-01-06 13:26:55.209 +00:00 [INF] HTTP GET /api/v1/Employee/21815 responded 200 in 29.6266 ms
2026-01-06 13:26:55.218 +00:00 [INF] HTTP GET /api/v1/Employee/21815 responded 200 in 7.4647 ms
2026-01-06 13:27:03.405 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/logout responded 204 in 0.1199 ms
2026-01-06 13:27:03.440 +00:00 [INF] HTTP POST /api/v1/Auth/logout responded 200 in 31.1802 ms
2026-01-06 13:27:39.317 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/login responded 204 in 0.3199 ms
2026-01-06 13:27:39.470 +00:00 [INF] HTTP POST /api/v1/Auth/login responded 200 in 144.1652 ms
2026-01-06 13:27:39.488 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.1098 ms
2026-01-06 13:27:39.494 +00:00 [INF] HTTP GET /api/v1/Auth/me responded 200 in 1.6791 ms
2026-01-06 13:27:39.512 +00:00 [INF] HTTP OPTIONS /api/v1/Employee/21816 responded 204 in 0.1167 ms
2026-01-06 13:27:39.544 +00:00 [INF] HTTP GET /api/v1/Employee/21816 responded 200 in 28.7802 ms
2026-01-06 13:27:48.850 +00:00 [INF] HTTP OPTIONS /api/v1/Auth/me responded 204 in 0.2096 ms
